epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1955.82,0.648,0.92321,1.62174,0.85664,0.79347,0.87421,0.65514,0.54986,0.6248,1.45053,0.00796968,0.00796968,0.00796968
43,2000.76,0.6487,0.9312,1.61686,0.88224,0.78336,0.88007,0.6625,0.54849,0.61598,1.44294,0.00792016,0.00792016,0.00792016
44,2044.94,0.64349,0.92077,1.60816,0.85336,0.80703,0.88179,0.66805,0.54351,0.60806,1.43273,0.00787064,0.00787064,0.00787064
45,2090.83,0.63904,0.91247,1.60078,0.87173,0.78459,0.88057,0.67022,0.54596,0.60759,1.42879,0.00782112,0.00782112,0.00782112
46,2135.25,0.63576,0.89993,1.59407,0.861,0.79268,0.88049,0.66805,0.53654,0.60245,1.42215,0.0077716,0.0077716,0.0077716
47,2179.12,0.63265,0.89833,1.58496,0.85471,0.81797,0.88979,0.67918,0.53344,0.59031,1.4119,0.00772208,0.00772208,0.00772208
48,2224.83,0.62888,0.88005,1.58403,0.85643,0.8183,0.88715,0.67946,0.52844,0.58417,1.40571,0.00767256,0.00767256,0.00767256
49,2270.03,0.6288,0.87951,1.57886,0.86686,0.82942,0.89006,0.67998,0.53004,0.58163,1.40381,0.00762304,0.00762304,0.00762304
50,2314.68,0.62586,0.88269,1.57641,0.88134,0.81439,0.89819,0.68686,0.5281,0.57285,1.40064,0.00757352,0.00757352,0.00757352
51,2358.19,0.62359,0.86282,1.57156,0.87674,0.81719,0.8975,0.68986,0.52102,0.55953,1.38938,0.007524,0.007524,0.007524
52,2402.97,0.6225,0.86945,1.56853,0.88725,0.8043,0.89691,0.68696,0.52496,0.56038,1.39538,0.00747448,0.00747448,0.00747448
53,2447.57,0.61976,0.85833,1.56107,0.88208,0.81961,0.89718,0.68854,0.5216,0.5636,1.38955,0.00742496,0.00742496,0.00742496
54,2491.69,0.61497,0.84743,1.55374,0.89464,0.81426,0.90085,0.69543,0.52038,0.55351,1.38309,0.00737544,0.00737544,0.00737544
55,2536.07,0.6146,0.84724,1.55364,0.86872,0.84089,0.90397,0.69646,0.52118,0.55395,1.38505,0.00732592,0.00732592,0.00732592
56,2581.04,0.61281,0.8421,1.55195,0.88431,0.827,0.90452,0.69981,0.513,0.54582,1.37691,0.0072764,0.0072764,0.0072764
57,2625.91,0.61224,0.84222,1.54884,0.88605,0.83044,0.90674,0.70268,0.51155,0.54019,1.37159,0.00722688,0.00722688,0.00722688
58,2669.82,0.60691,0.83218,1.54179,0.88722,0.8368,0.90634,0.70227,0.51125,0.53768,1.36549,0.00717736,0.00717736,0.00717736
59,2715.14,0.60488,0.8329,1.52937,0.8835,0.83507,0.90826,0.70622,0.50743,0.53022,1.35953,0.00712784,0.00712784,0.00712784
60,2759.6,0.60534,0.82101,1.53651,0.89394,0.83703,0.90965,0.71035,0.50468,0.5254,1.35998,0.00707832,0.00707832,0.00707832
61,2804.75,0.59882,0.81967,1.52621,0.88823,0.84247,0.91096,0.70743,0.50741,0.52433,1.35629,0.0070288,0.0070288,0.0070288
62,2849.28,0.60232,0.81466,1.52556,0.8962,0.84406,0.91105,0.7106,0.50138,0.52036,1.34624,0.00697928,0.00697928,0.00697928
63,2894.63,0.59221,0.81011,1.51325,0.89744,0.84027,0.91233,0.71367,0.49754,0.51947,1.34125,0.00692976,0.00692976,0.00692976
64,2939.37,0.59809,0.81424,1.51903,0.8965,0.83445,0.9138,0.71608,0.49441,0.51645,1.33611,0.00688024,0.00688024,0.00688024
65,2983.68,0.59075,0.79803,1.50743,0.90959,0.82969,0.91304,0.71826,0.49459,0.51284,1.33784,0.00683072,0.00683072,0.00683072
66,3029.85,0.59625,0.79957,1.51629,0.8968,0.83798,0.91298,0.71725,0.49491,0.51345,1.33463,0.0067812,0.0067812,0.0067812
