epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.122,0.6947,0.40882,0.96692,0.95542,0.93905,0.9736,0.82575,0.71035,0.44667,0.98558,0.0771052,0.0029838,0.0029838
2,233.616,0.76298,0.51276,1.01488,0.97093,0.95197,0.97992,0.8213,0.72472,0.42406,1.00655,0.0539977,0.00586134,0.00586134
3,345.891,0.75531,0.52705,1.01129,0.9607,0.95473,0.98022,0.83272,0.68925,0.41759,0.99973,0.0307713,0.0086201,0.0086201
4,456.791,0.77814,0.57216,1.037,0.912,0.87994,0.93978,0.76202,0.8225,0.61959,1.08938,0.0108443,0.0108443,0.0108443
5,568.812,0.77505,0.58747,1.03502,0.92549,0.90803,0.95527,0.78531,0.74394,0.53836,1.03742,0.0106157,0.0106157,0.0106157
6,679.297,0.76833,0.58606,1.03607,0.90898,0.81643,0.90131,0.71822,0.86726,0.73365,1.15781,0.0103872,0.0103872,0.0103872
7,791.611,0.75243,0.56962,1.02,0.94214,0.9212,0.96529,0.8022,0.72688,0.48211,1.02442,0.0101586,0.0101586,0.0101586
8,902.004,0.73598,0.55544,1.01254,0.9476,0.90625,0.95575,0.79579,0.73171,0.50575,1.00609,0.00993005,0.00993005,0.00993005
9,1013.33,0.73256,0.54093,1.00679,0.96025,0.92714,0.97259,0.82591,0.67446,0.44172,0.96197,0.00970149,0.00970149,0.00970149
10,1123.76,0.71355,0.5316,0.99954,0.97193,0.94553,0.98037,0.8453,0.63405,0.39009,0.96317,0.00947293,0.00947293,0.00947293
11,1235.95,0.69934,0.52377,0.99114,0.96648,0.93464,0.97587,0.83749,0.66261,0.41434,0.97665,0.00924436,0.00924436,0.00924436
12,1346.99,0.6939,0.5145,0.99293,0.96288,0.94523,0.97782,0.84151,0.64392,0.39856,0.96598,0.0090158,0.0090158,0.0090158
13,1458.16,0.67803,0.5061,0.98546,0.96257,0.94678,0.97831,0.8447,0.62763,0.39107,0.93886,0.00878723,0.00878723,0.00878723
14,1568.44,0.66673,0.49486,0.98349,0.96859,0.94928,0.98061,0.85231,0.62373,0.38256,0.95546,0.00855867,0.00855867,0.00855867
15,1680.44,0.66421,0.48822,0.97745,0.9772,0.95135,0.97951,0.85612,0.61007,0.38087,0.93042,0.00833011,0.00833011,0.00833011
16,1790.76,0.64497,0.47857,0.96587,0.9664,0.9484,0.97882,0.85684,0.61021,0.39352,0.93457,0.00810154,0.00810154,0.00810154
17,1902.78,0.63535,0.47043,0.96014,0.96764,0.95651,0.97994,0.86279,0.58531,0.36684,0.91726,0.00787298,0.00787298,0.00787298
18,2013.72,0.62532,0.45944,0.95951,0.97048,0.95087,0.9821,0.8661,0.59684,0.37444,0.92329,0.00764442,0.00764442,0.00764442
19,2125.69,0.61597,0.45554,0.96163,0.97781,0.96011,0.98498,0.88082,0.55059,0.33786,0.90146,0.00741585,0.00741585,0.00741585
20,2236.19,0.61237,0.4443,0.94832,0.97965,0.96686,0.98718,0.88464,0.55312,0.32602,0.90462,0.00718729,0.00718729,0.00718729
21,2347.7,0.59677,0.43412,0.94684,0.98096,0.96326,0.98721,0.88772,0.54254,0.32919,0.89181,0.00695872,0.00695872,0.00695872
22,2459.67,0.59151,0.42688,0.93609,0.97696,0.94524,0.97994,0.87128,0.56813,0.35385,0.90555,0.00673016,0.00673016,0.00673016
23,2571.16,0.5829,0.42122,0.93185,0.98244,0.95686,0.98416,0.89146,0.53006,0.31862,0.88212,0.0065016,0.0065016,0.0065016
24,2681.47,0.5707,0.4142,0.9313,0.97907,0.96634,0.98631,0.88564,0.54206,0.31544,0.88791,0.00627303,0.00627303,0.00627303
25,2792.94,0.56354,0.40409,0.92342,0.98029,0.97074,0.98696,0.89966,0.50106,0.29306,0.86064,0.00604447,0.00604447,0.00604447
26,2903.81,0.55401,0.39723,0.91939,0.98021,0.96736,0.98576,0.89107,0.52068,0.31658,0.88686,0.0058159,0.0058159,0.0058159
27,3015.73,0.54763,0.39319,0.91943,0.98709,0.9669,0.98682,0.89761,0.50666,0.29838,0.86935,0.00558734,0.00558734,0.00558734
28,3126.35,0.54233,0.38772,0.91528,0.9838,0.97537,0.98866,0.90566,0.49124,0.2763,0.85655,0.00535878,0.00535878,0.00535878
29,3238.42,0.52922,0.37728,0.90662,0.98726,0.97301,0.98947,0.90641,0.48757,0.27212,0.85606,0.00513021,0.00513021,0.00513021
30,3349.28,0.52048,0.36986,0.91235,0.98675,0.97772,0.99031,0.91081,0.48127,0.26955,0.86199,0.00490165,0.00490165,0.00490165
31,3462.45,0.51571,0.36239,0.91116,0.98977,0.96753,0.99018,0.91158,0.4803,0.26375,0.85419,0.00467309,0.00467309,0.00467309
32,3573.92,0.50014,0.34932,0.89814,0.98082,0.96729,0.9873,0.91074,0.48473,0.27972,0.85805,0.00444452,0.00444452,0.00444452
33,3686.04,0.49811,0.34882,0.89664,0.98684,0.97201,0.99001,0.91326,0.46908,0.26332,0.85897,0.00421596,0.00421596,0.00421596
34,3797.46,0.49699,0.34967,0.89975,0.9875,0.97014,0.98998,0.92004,0.45026,0.26064,0.84074,0.00398739,0.00398739,0.00398739
35,3910.79,0.485,0.33645,0.89581,0.98654,0.97563,0.98974,0.91786,0.45384,0.257,0.84479,0.00375883,0.00375883,0.00375883
36,4021.4,0.47676,0.32937,0.89232,0.98858,0.97642,0.99013,0.92421,0.43657,0.25049,0.82911,0.00353027,0.00353027,0.00353027
37,4133.75,0.47175,0.32345,0.88537,0.99044,0.97544,0.98961,0.92314,0.44215,0.25096,0.82698,0.0033017,0.0033017,0.0033017
38,4246.24,0.4677,0.32431,0.883,0.98397,0.97904,0.98941,0.92415,0.43106,0.25412,0.83017,0.00307314,0.00307314,0.00307314
39,4358.47,0.45736,0.31477,0.8808,0.98689,0.97675,0.98905,0.92551,0.43211,0.24959,0.83959,0.00284458,0.00284458,0.00284458
40,4468.86,0.44809,0.31017,0.87896,0.98866,0.9706,0.9897,0.9295,0.42139,0.25126,0.82034,0.00261601,0.00261601,0.00261601
41,4582.55,0.3919,0.24308,0.85286,0.98305,0.97342,0.98909,0.92903,0.43583,0.24848,0.83313,0.00238745,0.00238745,0.00238745
42,4694.41,0.38415,0.23895,0.84362,0.9831,0.97962,0.99035,0.93116,0.42205,0.24436,0.82376,0.00215888,0.00215888,0.00215888
43,4806.15,0.37948,0.23392,0.84793,0.98745,0.9752,0.99051,0.93265,0.4183,0.23916,0.81931,0.00193032,0.00193032,0.00193032
44,4916.75,0.36706,0.22551,0.83836,0.98446,0.97505,0.99067,0.93535,0.41088,0.2372,0.81101,0.00170176,0.00170176,0.00170176
45,5028.22,0.35988,0.2239,0.83719,0.98262,0.97959,0.99041,0.93695,0.39958,0.23071,0.8078,0.00147319,0.00147319,0.00147319
