epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.533,0.695,0.37321,0.8823,0.99272,0.97578,0.99139,0.88671,0.6093,0.29174,0.81642,0.076331,0.00240393,0.00240393
2,234.536,0.69304,0.40552,0.88454,0.99154,0.97071,0.98736,0.86604,0.64275,0.33149,0.84344,0.0524689,0.00472216,0.00472216
3,346.659,0.71372,0.43608,0.90046,0.98163,0.96174,0.98698,0.85055,0.68932,0.36756,0.88719,0.0285111,0.00694462,0.00694462
4,458.132,0.78122,0.50546,0.9335,0.96674,0.94504,0.9741,0.81986,0.75654,0.44731,0.92769,0.00867123,0.00867123,0.00867123
5,569.721,0.80789,0.55481,0.95372,0.92871,0.86385,0.93443,0.75911,0.8476,0.64655,0.98097,0.0084883,0.0084883,0.0084883
6,680.506,0.804,0.55971,0.94674,0.96006,0.93728,0.9751,0.82492,0.73278,0.43546,0.90337,0.00830538,0.00830538,0.00830538
7,792.947,0.78403,0.55142,0.9374,0.95459,0.93983,0.97386,0.82686,0.73026,0.43734,0.9079,0.00812245,0.00812245,0.00812245
8,904.506,0.76413,0.53748,0.93481,0.93353,0.84318,0.92348,0.74755,0.87087,0.62404,0.99547,0.00793953,0.00793953,0.00793953
9,1016.58,0.75762,0.52786,0.92387,0.97594,0.93974,0.97872,0.84229,0.69114,0.40373,0.87523,0.0077566,0.0077566,0.0077566
10,1127.18,0.74306,0.51953,0.92052,0.96574,0.94636,0.97807,0.83895,0.69,0.39729,0.8656,0.00757368,0.00757368,0.00757368
11,1239.6,0.72502,0.50912,0.90774,0.9675,0.94203,0.97891,0.84389,0.68536,0.41916,0.88582,0.00739075,0.00739075,0.00739075
12,1352.03,0.71633,0.50489,0.91067,0.96723,0.94626,0.97941,0.84289,0.68017,0.39975,0.87401,0.00720783,0.00720783,0.00720783
13,1464.41,0.69705,0.4836,0.90287,0.96672,0.9394,0.97469,0.84058,0.67438,0.4128,0.87962,0.0070249,0.0070249,0.0070249
14,1574.78,0.69616,0.48666,0.90294,0.96472,0.96172,0.9834,0.86556,0.61783,0.3613,0.85533,0.00684198,0.00684198,0.00684198
15,1687.11,0.68181,0.46951,0.8938,0.93916,0.86251,0.93833,0.78176,0.80052,0.57013,0.96093,0.00665905,0.00665905,0.00665905
16,1799.03,0.67332,0.46647,0.8931,0.97842,0.94909,0.9804,0.86038,0.64312,0.37831,0.85953,0.00647613,0.00647613,0.00647613
17,1911.04,0.66472,0.45692,0.88747,0.98062,0.95929,0.98447,0.87188,0.60369,0.33063,0.83344,0.0062932,0.0062932,0.0062932
18,2022.29,0.65319,0.44485,0.88008,0.95314,0.92103,0.96394,0.82614,0.69983,0.4549,0.8837,0.00611028,0.00611028,0.00611028
19,2134.53,0.64031,0.44628,0.8775,0.98269,0.96259,0.98793,0.87818,0.59966,0.32654,0.84157,0.00592735,0.00592735,0.00592735
20,2245.33,0.63518,0.43256,0.8742,0.9747,0.95789,0.98428,0.88097,0.58637,0.34057,0.84022,0.00574443,0.00574443,0.00574443
21,2358.93,0.62126,0.42322,0.87394,0.97339,0.96432,0.98609,0.87962,0.57519,0.33244,0.8227,0.0055615,0.0055615,0.0055615
22,2469.9,0.61117,0.41328,0.86176,0.97593,0.96837,0.98716,0.88903,0.56427,0.30166,0.81418,0.00537858,0.00537858,0.00537858
23,2582.66,0.60145,0.40836,0.86101,0.9843,0.96122,0.98895,0.89557,0.55376,0.29989,0.80947,0.00519565,0.00519565,0.00519565
24,2694.23,0.59916,0.40471,0.85494,0.97813,0.96945,0.98928,0.89667,0.54497,0.29667,0.80701,0.00501273,0.00501273,0.00501273
25,2807.14,0.58588,0.39383,0.8585,0.98833,0.97378,0.99018,0.90532,0.52659,0.27732,0.79699,0.0048298,0.0048298,0.0048298
26,2918.83,0.57428,0.38961,0.85042,0.9827,0.97157,0.9896,0.90467,0.52061,0.27953,0.78931,0.00464688,0.00464688,0.00464688
27,3031.72,0.56866,0.38428,0.84977,0.98262,0.97179,0.9884,0.90111,0.53307,0.29381,0.81345,0.00446396,0.00446396,0.00446396
