epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.328,0.49658,0.31346,1.13087,0.98184,0.96201,0.98613,0.84171,0.52005,0.30861,1.10497,0.063951,0.00445095,0.00445095
2,232.144,0.5686,0.41051,1.19009,0.94514,0.93807,0.96712,0.79011,0.58819,0.3973,1.18171,0.0275774,0.00874411,0.00874411
3,344.533,0.70225,0.65728,1.32306,0.69783,0.49786,0.56133,0.36944,1.05554,1.67801,1.87641,0.0105561,0.0105561,0.0105561
4,455.437,0.77121,0.82865,1.41117,0.82018,0.72259,0.81426,0.58252,0.7919,0.80501,1.47483,0.0103391,0.0103391,0.0103391
5,567.862,0.74042,0.80282,1.38196,0.85675,0.74362,0.83932,0.61217,0.75674,0.79071,1.42231,0.0101221,0.0101221,0.0101221
6,679.011,0.72296,0.76329,1.35978,0.84212,0.83162,0.89656,0.68345,0.69352,0.62607,1.31956,0.00990518,0.00990518,0.00990518
7,790.869,0.70112,0.72237,1.33984,0.88459,0.80836,0.89263,0.68034,0.70056,0.62832,1.35822,0.00968821,0.00968821,0.00968821
8,901.644,0.67858,0.68578,1.31822,0.90085,0.85587,0.92162,0.71958,0.65122,0.54125,1.26286,0.00947125,0.00947125,0.00947125
9,1013.66,0.65928,0.65344,1.30377,0.91618,0.87173,0.93138,0.72785,0.64484,0.5164,1.28353,0.00925428,0.00925428,0.00925428
10,1124.39,0.64015,0.61888,1.27727,0.91907,0.87831,0.93521,0.75017,0.61461,0.47589,1.23551,0.00903732,0.00903732,0.00903732
11,1236.84,0.6238,0.59189,1.26989,0.92449,0.87332,0.94635,0.75919,0.60619,0.46932,1.229,0.00882035,0.00882035,0.00882035
12,1347.51,0.61452,0.5865,1.25748,0.93645,0.87815,0.94321,0.76349,0.58815,0.46753,1.19951,0.00860339,0.00860339,0.00860339
13,1460.28,0.59541,0.55452,1.23705,0.92556,0.91157,0.95418,0.78805,0.54743,0.40632,1.16951,0.00838643,0.00838643,0.00838643
14,1571.09,0.57849,0.53572,1.2235,0.94637,0.91006,0.96144,0.79479,0.55294,0.39954,1.14173,0.00816946,0.00816946,0.00816946
15,1684.32,0.57277,0.52186,1.21368,0.93983,0.92329,0.96582,0.80533,0.53996,0.3801,1.13788,0.0079525,0.0079525,0.0079525
16,1795.47,0.56469,0.51513,1.21025,0.96563,0.91375,0.96666,0.80848,0.52314,0.3728,1.11245,0.00773553,0.00773553,0.00773553
17,1907.88,0.54732,0.48942,1.18899,0.95332,0.91805,0.96477,0.80902,0.52199,0.37877,1.13937,0.00751857,0.00751857,0.00751857
18,2018.6,0.53863,0.47913,1.18462,0.95588,0.89541,0.95885,0.79722,0.54603,0.38835,1.15042,0.0073016,0.0073016,0.0073016
19,2130.43,0.53161,0.47584,1.1805,0.95071,0.93919,0.9706,0.82684,0.49825,0.34627,1.09588,0.00708464,0.00708464,0.00708464
20,2241.35,0.52425,0.46191,1.17197,0.9196,0.9167,0.9559,0.80463,0.51037,0.4102,1.11984,0.00686767,0.00686767,0.00686767
21,2353.54,0.51761,0.45767,1.16723,0.96094,0.9525,0.97808,0.84414,0.47633,0.31663,1.08128,0.00665071,0.00665071,0.00665071
22,2465.33,0.50419,0.43661,1.15651,0.94936,0.93799,0.97251,0.83135,0.49441,0.33987,1.10633,0.00643374,0.00643374,0.00643374
23,2577.68,0.496,0.42804,1.14976,0.96558,0.93983,0.9775,0.84468,0.47488,0.32336,1.09163,0.00621678,0.00621678,0.00621678
24,2688.68,0.48834,0.42411,1.1452,0.9553,0.9365,0.97347,0.84727,0.46086,0.31706,1.05122,0.00599981,0.00599981,0.00599981
