epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.658,0.51427,0.32602,1.08839,0.98836,0.96651,0.9902,0.86413,0.50705,0.29145,1.04475,0.0669903,0.0038644,0.0038644
2,234.7,0.54502,0.37504,1.11876,0.97655,0.95697,0.98062,0.83444,0.548,0.34685,1.10316,0.0336919,0.00759175,0.00759175
3,346.545,0.59801,0.45104,1.17022,0.95317,0.90592,0.96311,0.78236,0.64178,0.4504,1.21298,0.0100661,0.0100661,0.0100661
4,457.706,0.63223,0.53302,1.20634,0.93675,0.86987,0.93747,0.7627,0.62125,0.51871,1.19149,0.00985909,0.00985909,0.00985909
5,569.566,0.61696,0.52083,1.19776,0.92867,0.90009,0.95104,0.78412,0.6057,0.47204,1.15525,0.00965211,0.00965211,0.00965211
6,681.319,0.60875,0.51237,1.185,0.92941,0.88625,0.94065,0.76316,0.66965,0.51657,1.21365,0.00944514,0.00944514,0.00944514
7,793.248,0.59969,0.50318,1.175,0.9497,0.92085,0.96766,0.81422,0.56419,0.40686,1.09896,0.00923817,0.00923817,0.00923817
8,904.004,0.58549,0.49542,1.16692,0.94737,0.91522,0.96151,0.79389,0.6057,0.44374,1.1524,0.0090312,0.0090312,0.0090312
9,1015.77,0.57837,0.4875,1.16146,0.96173,0.93232,0.97133,0.83021,0.53352,0.37537,1.08322,0.00882423,0.00882423,0.00882423
10,1126,0.56348,0.47374,1.14166,0.95375,0.92347,0.9643,0.8145,0.5473,0.39806,1.07039,0.00861726,0.00861726,0.00861726
11,1238.17,0.55074,0.46159,1.13177,0.96297,0.92202,0.96896,0.82899,0.53263,0.39074,1.07903,0.00841028,0.00841028,0.00841028
12,1350.08,0.54433,0.4539,1.13282,0.96976,0.92849,0.97447,0.83102,0.54174,0.36553,1.09919,0.00820331,0.00820331,0.00820331
13,1462.71,0.5314,0.44345,1.12455,0.95645,0.93874,0.97694,0.84329,0.50492,0.36055,1.08313,0.00799634,0.00799634,0.00799634
14,1573.77,0.52288,0.43073,1.12368,0.97811,0.94528,0.97796,0.84287,0.52018,0.33747,1.07336,0.00778937,0.00778937,0.00778937
15,1685.65,0.51774,0.42702,1.10837,0.96352,0.96476,0.98191,0.85787,0.48774,0.32426,1.04442,0.0075824,0.0075824,0.0075824
16,1796.51,0.50635,0.41989,1.10839,0.97119,0.94646,0.9823,0.86205,0.48491,0.32926,1.04744,0.00737543,0.00737543,0.00737543
17,1908.69,0.49658,0.40981,1.10355,0.97826,0.94567,0.98384,0.87122,0.46859,0.31749,1.04289,0.00716845,0.00716845,0.00716845
18,2019.44,0.48998,0.39665,1.09072,0.97239,0.96817,0.98582,0.87018,0.46595,0.28976,1.02027,0.00696148,0.00696148,0.00696148
19,2132.59,0.48222,0.3934,1.08817,0.97351,0.96297,0.98374,0.87751,0.45006,0.29866,1.03226,0.00675451,0.00675451,0.00675451
20,2243.65,0.47397,0.38533,1.08088,0.97168,0.9587,0.98545,0.87852,0.45511,0.28502,1.01819,0.00654754,0.00654754,0.00654754
21,2355.64,0.46839,0.38257,1.08096,0.97831,0.94763,0.98044,0.87508,0.44796,0.30492,1.01935,0.00634057,0.00634057,0.00634057
22,2466.12,0.45826,0.37061,1.06956,0.97621,0.96607,0.98662,0.89005,0.4278,0.2724,0.97479,0.0061336,0.0061336,0.0061336
23,2578.28,0.45264,0.36446,1.06269,0.98162,0.96353,0.98668,0.8895,0.42807,0.27339,0.99722,0.00592662,0.00592662,0.00592662
24,2689.06,0.44712,0.36378,1.06569,0.98093,0.96794,0.98706,0.89395,0.42477,0.26311,0.98574,0.00571965,0.00571965,0.00571965
25,2801.38,0.43965,0.35342,1.05484,0.98103,0.96239,0.98583,0.89157,0.41454,0.26275,0.97955,0.00551268,0.00551268,0.00551268
26,2912.02,0.43072,0.34676,1.04868,0.97813,0.96711,0.98472,0.89417,0.41496,0.26401,0.98824,0.00530571,0.00530571,0.00530571
27,3024.24,0.42496,0.33882,1.05291,0.97858,0.96452,0.98303,0.88954,0.4191,0.27538,0.9847,0.00509874,0.00509874,0.00509874
28,3135.01,0.41799,0.33304,1.04566,0.98462,0.96343,0.98661,0.90163,0.39827,0.25235,0.9792,0.00489177,0.00489177,0.00489177
