epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.327,0.70224,0.4354,1.15654,0.98557,0.9594,0.98359,0.84424,0.7202,0.44763,1.10939,0.0774025,0.00292774,0.00292774
2,236.89,0.76206,0.52563,1.19697,0.94517,0.90463,0.94454,0.76853,0.85903,0.62328,1.24929,0.0545959,0.00575133,0.00575133
3,348.985,0.76183,0.55197,1.20933,0.95425,0.93922,0.97283,0.8142,0.78284,0.50602,1.19392,0.0316728,0.00845848,0.00845848
4,459.978,0.79793,0.60925,1.23796,0.93659,0.91244,0.95368,0.78348,0.82715,0.60433,1.23535,0.0107885,0.0107885,0.0107885
5,572.378,0.80725,0.64124,1.24185,0.95054,0.92155,0.96435,0.80223,0.79082,0.55951,1.20618,0.0105614,0.0105614,0.0105614
6,682.843,0.79573,0.63745,1.23658,0.95914,0.94185,0.9733,0.81817,0.77232,0.51175,1.19268,0.0103342,0.0103342,0.0103342
7,795.025,0.77174,0.61862,1.22534,0.94003,0.89005,0.94663,0.78116,0.8138,0.61685,1.22806,0.0101071,0.0101071,0.0101071
8,907.576,0.76766,0.6104,1.21837,0.96354,0.92347,0.97101,0.83139,0.7236,0.49219,1.14402,0.00987992,0.00987992,0.00987992
9,1019.53,0.75589,0.59706,1.20349,0.96939,0.93482,0.97452,0.83231,0.72249,0.48123,1.13519,0.00965277,0.00965277,0.00965277
10,1130.68,0.73341,0.58729,1.19557,0.95799,0.95146,0.9767,0.84258,0.69152,0.45491,1.13586,0.00942561,0.00942561,0.00942561
11,1243.08,0.71882,0.57232,1.19103,0.96831,0.93336,0.97652,0.83801,0.69836,0.45681,1.12471,0.00919846,0.00919846,0.00919846
12,1355.19,0.71228,0.57134,1.1843,0.96449,0.95508,0.97884,0.84514,0.68464,0.44417,1.12046,0.0089713,0.0089713,0.0089713
13,1467.92,0.69688,0.55543,1.18003,0.97312,0.95726,0.98276,0.85469,0.66969,0.42812,1.12229,0.00874415,0.00874415,0.00874415
14,1578.66,0.68594,0.54161,1.17977,0.9786,0.94662,0.98224,0.85841,0.66874,0.43054,1.11624,0.008517,0.008517,0.008517
15,1691.43,0.67984,0.53348,1.1623,0.95573,0.95402,0.98069,0.85705,0.64289,0.41893,1.0728,0.00828984,0.00828984,0.00828984
16,1803.32,0.66417,0.5238,1.1548,0.97455,0.95905,0.98351,0.87016,0.62468,0.3929,1.07017,0.00806269,0.00806269,0.00806269
17,1916.3,0.64919,0.5094,1.1437,0.97613,0.95696,0.9818,0.87134,0.62818,0.40014,1.06585,0.00783553,0.00783553,0.00783553
18,2027.49,0.64023,0.4972,1.14242,0.97935,0.95699,0.98468,0.878,0.60047,0.36573,1.04835,0.00760838,0.00760838,0.00760838
19,2139.99,0.63523,0.49573,1.14574,0.97094,0.96036,0.98455,0.8783,0.60076,0.39999,1.05375,0.00738122,0.00738122,0.00738122
20,2250.91,0.63083,0.49116,1.14158,0.9754,0.96052,0.9838,0.87691,0.61471,0.39377,1.09127,0.00715407,0.00715407,0.00715407
21,2363.49,0.61653,0.48482,1.13573,0.97527,0.96819,0.98623,0.88801,0.57667,0.37255,1.06195,0.00692692,0.00692692,0.00692692
22,2475.17,0.60096,0.46144,1.12705,0.97432,0.96968,0.98646,0.89162,0.57613,0.35857,1.05518,0.00669976,0.00669976,0.00669976
23,2587.56,0.59788,0.46026,1.12256,0.98334,0.96853,0.98634,0.88925,0.56863,0.3429,1.03638,0.00647261,0.00647261,0.00647261
24,2698.29,0.58984,0.4607,1.12273,0.9863,0.96314,0.98761,0.8975,0.56733,0.34694,1.04675,0.00624545,0.00624545,0.00624545
