epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.983,0.66911,0.40379,1.01342,0.98905,0.96816,0.9883,0.85901,0.65218,0.35476,0.97864,0.0759468,0.00306733,0.00306733
2,233.255,0.68803,0.44922,1.02849,0.98325,0.96652,0.98694,0.85693,0.6441,0.37223,0.98741,0.0516729,0.00602556,0.00602556
3,344.442,0.70369,0.48558,1.03723,0.98154,0.96317,0.98638,0.84987,0.67995,0.41503,1.00091,0.027277,0.0088618,0.0088618
4,454.45,0.73358,0.52568,1.06536,0.91893,0.87656,0.93274,0.76238,0.821,0.66697,1.14265,0.0106381,0.0106381,0.0106381
5,566.074,0.73146,0.5337,1.05949,0.97408,0.94968,0.98197,0.84284,0.67314,0.41428,1.0119,0.0104141,0.0104141,0.0104141
6,676.193,0.72417,0.53741,1.05623,0.97134,0.95638,0.98422,0.84686,0.65737,0.41359,0.97729,0.0101902,0.0101902,0.0101902
7,787.315,0.70754,0.53071,1.04498,0.96133,0.95415,0.98051,0.84151,0.66136,0.43563,0.99696,0.00996621,0.00996621,0.00996621
8,897.42,0.69414,0.51703,1.04093,0.97132,0.9433,0.97844,0.84428,0.6499,0.41995,0.96712,0.00974224,0.00974224,0.00974224
9,1008.48,0.68165,0.51125,1.03412,0.97273,0.95664,0.98281,0.85742,0.63717,0.39383,0.97274,0.00951828,0.00951828,0.00951828
10,1118.48,0.66701,0.49669,1.02626,0.97846,0.95295,0.98181,0.85759,0.62533,0.40092,0.98416,0.00929431,0.00929431,0.00929431
11,1229.14,0.65628,0.49317,1.02482,0.97539,0.95204,0.98089,0.85461,0.63576,0.40785,0.98704,0.00907035,0.00907035,0.00907035
12,1339.72,0.64638,0.4803,1.01834,0.97611,0.94458,0.98013,0.8626,0.61604,0.39981,0.97945,0.00884638,0.00884638,0.00884638
13,1451.56,0.63428,0.47022,1.01481,0.98235,0.9532,0.98484,0.87964,0.57663,0.34964,0.96044,0.00862242,0.00862242,0.00862242
14,1562.05,0.6215,0.46524,1.01388,0.98067,0.95009,0.98272,0.87442,0.58755,0.36936,0.96246,0.00839845,0.00839845,0.00839845
15,1673.2,0.61977,0.46126,1.00532,0.97824,0.96442,0.98427,0.87826,0.56379,0.35255,0.93387,0.00817449,0.00817449,0.00817449
16,1783.19,0.60944,0.44783,1.00291,0.97905,0.96836,0.98781,0.88511,0.56333,0.33931,0.96679,0.00795052,0.00795052,0.00795052
17,1894.79,0.5925,0.44197,0.99843,0.9806,0.96434,0.98697,0.89146,0.54457,0.34035,0.93562,0.00772656,0.00772656,0.00772656
18,2005.15,0.58283,0.43329,0.99295,0.97951,0.9675,0.98484,0.88364,0.5537,0.33838,0.95678,0.00750259,0.00750259,0.00750259
19,2116.04,0.57426,0.42807,0.99322,0.98112,0.96791,0.98614,0.89189,0.53426,0.33113,0.94424,0.00727863,0.00727863,0.00727863
20,2226.22,0.5705,0.4257,0.98935,0.97921,0.96549,0.98756,0.8928,0.53942,0.32351,0.94904,0.00705466,0.00705466,0.00705466
21,2337.3,0.56695,0.41724,0.98656,0.98171,0.97317,0.98673,0.89288,0.53572,0.31351,0.93751,0.0068307,0.0068307,0.0068307
