epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.06,0.6726,0.38505,1.02572,0.99094,0.97207,0.99002,0.86918,0.63312,0.33234,0.98216,0.0769176,0.00299057,0.00299057
2,234.625,0.72499,0.45926,1.06509,0.98152,0.96513,0.98447,0.84503,0.6861,0.3799,1.05458,0.0536215,0.00587475,0.00587475
3,346.626,0.72503,0.4898,1.08258,0.95479,0.92531,0.97005,0.81707,0.73252,0.4798,1.08623,0.0302065,0.00863999,0.00863999
4,458.786,0.76121,0.54135,1.09551,0.93435,0.91877,0.95761,0.78431,0.77861,0.52223,1.12114,0.0107885,0.0107885,0.0107885
5,570.636,0.76691,0.56251,1.10865,0.95899,0.93369,0.97196,0.81286,0.71962,0.48357,1.09803,0.0105614,0.0105614,0.0105614
6,680.959,0.75422,0.56038,1.10339,0.9248,0.90395,0.95041,0.78104,0.77252,0.55289,1.11214,0.0103342,0.0103342,0.0103342
7,793.095,0.73995,0.55388,1.08367,0.95721,0.94527,0.9791,0.83564,0.68473,0.42,1.04062,0.0101071,0.0101071,0.0101071
8,903.375,0.73238,0.5337,1.07733,0.96643,0.93565,0.97674,0.83693,0.66794,0.42628,1.02635,0.00987992,0.00987992,0.00987992
9,1014.88,0.72019,0.52934,1.07525,0.96358,0.90304,0.96656,0.8152,0.71362,0.48268,1.04777,0.00965277,0.00965277,0.00965277
10,1125.22,0.70418,0.51722,1.06598,0.95808,0.95359,0.97778,0.84254,0.63803,0.39965,1.02581,0.00942561,0.00942561,0.00942561
11,1237.16,0.69046,0.5084,1.06308,0.96377,0.94748,0.97934,0.8498,0.63686,0.39105,1.01972,0.00919846,0.00919846,0.00919846
12,1347.37,0.68384,0.50275,1.05951,0.9745,0.94742,0.98186,0.84747,0.65443,0.38534,1.0126,0.0089713,0.0089713,0.0089713
13,1458.7,0.66092,0.49067,1.04619,0.97278,0.95287,0.98451,0.86312,0.61038,0.36947,0.98405,0.00874415,0.00874415,0.00874415
14,1569.76,0.65472,0.47489,1.03898,0.9718,0.94465,0.98226,0.85441,0.63148,0.39517,1.00209,0.008517,0.008517,0.008517
15,1681.46,0.64834,0.46628,1.03169,0.97239,0.95973,0.98513,0.86922,0.60029,0.35141,0.96992,0.00828984,0.00828984,0.00828984
16,1792.36,0.64039,0.4688,1.03059,0.97015,0.93907,0.97737,0.8513,0.61369,0.39291,0.99098,0.00806269,0.00806269,0.00806269
17,1903.76,0.62366,0.45499,1.02272,0.97002,0.95596,0.98394,0.87508,0.58299,0.34362,0.96368,0.00783553,0.00783553,0.00783553
18,2014.39,0.61447,0.44757,1.01986,0.97681,0.95446,0.9849,0.87882,0.56054,0.33386,0.96185,0.00760838,0.00760838,0.00760838
19,2126.79,0.60807,0.44144,1.02318,0.97461,0.95833,0.98439,0.87436,0.57306,0.33941,0.9788,0.00738122,0.00738122,0.00738122
20,2236.98,0.60206,0.42714,1.01532,0.97456,0.9611,0.98499,0.88353,0.55937,0.32953,0.96587,0.00715407,0.00715407,0.00715407
21,2349.22,0.59248,0.42288,1.00817,0.9805,0.96209,0.98593,0.88576,0.54999,0.32815,0.95436,0.00692692,0.00692692,0.00692692
22,2459.83,0.58514,0.41603,1.00609,0.98647,0.95895,0.98615,0.88874,0.53838,0.30887,0.94516,0.00669976,0.00669976,0.00669976
23,2571.68,0.57334,0.41066,0.99612,0.9827,0.95911,0.98599,0.89531,0.51615,0.31302,0.93486,0.00647261,0.00647261,0.00647261
24,2682.22,0.56528,0.40581,0.99611,0.97559,0.97141,0.98599,0.89551,0.52356,0.30239,0.9355,0.00624545,0.00624545,0.00624545
25,2794.2,0.55417,0.39327,0.99006,0.98426,0.97064,0.9871,0.90322,0.49549,0.2849,0.91566,0.0060183,0.0060183,0.0060183
26,2904.94,0.5458,0.38844,0.98392,0.97531,0.97208,0.98645,0.90258,0.50618,0.29733,0.93406,0.00579115,0.00579115,0.00579115
27,3017.26,0.53863,0.38135,0.9832,0.98363,0.96921,0.98675,0.90277,0.51102,0.29334,0.93001,0.00556399,0.00556399,0.00556399
28,3127.83,0.53354,0.37636,0.98043,0.98158,0.97804,0.98796,0.90617,0.49386,0.28499,0.91295,0.00533684,0.00533684,0.00533684
29,3239.67,0.52495,0.36904,0.97001,0.98356,0.97357,0.98933,0.91107,0.48345,0.28134,0.90664,0.00510968,0.00510968,0.00510968
30,3350.26,0.5147,0.35991,0.97298,0.98011,0.96901,0.99011,0.91244,0.47767,0.27547,0.91078,0.00488253,0.00488253,0.00488253
31,3462.85,0.50741,0.35542,0.96906,0.98447,0.97592,0.98964,0.92153,0.46657,0.25951,0.90388,0.00465537,0.00465537,0.00465537
32,3574.16,0.49695,0.34553,0.95979,0.9832,0.97032,0.98879,0.91976,0.46331,0.27277,0.9045,0.00442822,0.00442822,0.00442822
33,3686.13,0.49072,0.34008,0.96124,0.98701,0.97101,0.98948,0.91765,0.4647,0.26372,0.89869,0.00420107,0.00420107,0.00420107
34,3796.66,0.48873,0.33992,0.96095,0.98781,0.96889,0.98936,0.91965,0.4569,0.26301,0.90689,0.00397391,0.00397391,0.00397391
35,3908.81,0.47803,0.32846,0.95666,0.98934,0.97029,0.99066,0.92343,0.45189,0.25195,0.89377,0.00374676,0.00374676,0.00374676
36,4019.23,0.47184,0.32339,0.95153,0.98271,0.97397,0.99041,0.92693,0.44011,0.24592,0.8886,0.0035196,0.0035196,0.0035196
37,4131.22,0.46621,0.31859,0.94865,0.9855,0.97521,0.99024,0.92827,0.43366,0.24653,0.8894,0.00329245,0.00329245,0.00329245
38,4242.26,0.45894,0.31538,0.94609,0.98723,0.97145,0.99052,0.92822,0.43593,0.24719,0.89115,0.0030653,0.0030653,0.0030653
39,4354.85,0.44486,0.30707,0.94357,0.98757,0.97569,0.99021,0.93347,0.4251,0.24178,0.89363,0.00283814,0.00283814,0.00283814
40,4465.28,0.44023,0.302,0.94092,0.98361,0.97625,0.98979,0.93124,0.42638,0.24247,0.88668,0.00261099,0.00261099,0.00261099
41,4579.08,0.38615,0.23429,0.90859,0.98559,0.97555,0.99083,0.93118,0.42688,0.2415,0.88017,0.00238383,0.00238383,0.00238383
42,4689.21,0.3784,0.23118,0.90325,0.98877,0.97258,0.9912,0.9348,0.42037,0.23926,0.88418,0.00215668,0.00215668,0.00215668
43,4801.79,0.36992,0.22589,0.90376,0.98966,0.97612,0.99149,0.9358,0.41747,0.2351,0.88017,0.00192952,0.00192952,0.00192952
44,4913.75,0.35929,0.21849,0.89295,0.9872,0.97629,0.99116,0.9402,0.41055,0.23118,0.87702,0.00170237,0.00170237,0.00170237
45,5025.45,0.35273,0.21845,0.89422,0.98318,0.97964,0.99085,0.9402,0.39841,0.22406,0.86507,0.00147522,0.00147522,0.00147522
46,5136.72,0.34113,0.20743,0.88837,0.98778,0.97751,0.99165,0.94296,0.39381,0.22527,0.86873,0.00124806,0.00124806,0.00124806
47,5248.85,0.33368,0.20349,0.88865,0.98814,0.97763,0.99151,0.94335,0.3963,0.22749,0.87075,0.00102091,0.00102091,0.00102091
48,5359.35,0.32568,0.19869,0.88377,0.98836,0.97736,0.99217,0.94499,0.3859,0.22071,0.86453,0.000793754,0.000793754,0.000793754
49,5471.5,0.31724,0.19198,0.87859,0.98956,0.97746,0.99209,0.94647,0.38249,0.21611,0.8631,0.0005666,0.0005666,0.0005666
50,5583.26,0.31328,0.19032,0.87928,0.99092,0.97821,0.99201,0.94695,0.38097,0.2162,0.86269,0.000339445,0.000339445,0.000339445
