epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.609,0.72578,0.43393,1.03744,0.96958,0.92908,0.96379,0.80428,0.80661,0.52284,1.06737,0.0763416,0.00307426,0.00307426
2,233.474,0.80719,0.54976,1.08608,0.97473,0.94728,0.98106,0.83417,0.73823,0.44556,1.03318,0.0524637,0.00603909,0.00603909
3,344.353,0.80683,0.58101,1.0935,0.9387,0.90075,0.95501,0.78653,0.8024,0.57074,1.10865,0.0284636,0.0088816,0.0088816
4,454.708,0.84631,0.65188,1.12314,0.94563,0.91377,0.96135,0.78979,0.81504,0.57826,1.10111,0.0108164,0.0108164,0.0108164
5,565.852,0.84979,0.68266,1.11857,0.9339,0.91253,0.96398,0.79275,0.81544,0.57389,1.07226,0.0105886,0.0105886,0.0105886
6,675.797,0.84278,0.66296,1.1155,0.94019,0.92632,0.96778,0.79476,0.81965,0.53536,1.0656,0.0103607,0.0103607,0.0103607
7,786.434,0.82372,0.65775,1.10647,0.93358,0.91207,0.96347,0.79626,0.79218,0.54799,1.07801,0.0101329,0.0101329,0.0101329
8,896.452,0.80547,0.63828,1.10777,0.89785,0.83299,0.9137,0.72539,0.90241,0.75232,1.18922,0.00990501,0.00990501,0.00990501
9,1007.25,0.7911,0.62612,1.09836,0.96268,0.94456,0.97638,0.82485,0.72212,0.45884,1.02447,0.00967715,0.00967715,0.00967715
10,1117.29,0.77209,0.61299,1.08227,0.96145,0.91715,0.97045,0.82431,0.71665,0.48874,1.02787,0.00944929,0.00944929,0.00944929
11,1227.99,0.76133,0.59896,1.08725,0.96,0.92809,0.96782,0.82306,0.71778,0.50043,1.06989,0.00922144,0.00922144,0.00922144
12,1338.15,0.74706,0.58788,1.07493,0.9675,0.92925,0.97791,0.84363,0.687,0.44636,1.00959,0.00899358,0.00899358,0.00899358
13,1449.22,0.7272,0.57216,1.05549,0.96986,0.94198,0.97579,0.84422,0.68328,0.45696,1.01318,0.00876572,0.00876572,0.00876572
14,1559.6,0.72472,0.56369,1.051,0.96809,0.92913,0.96765,0.83129,0.70713,0.47512,1.02144,0.00853787,0.00853787,0.00853787
