                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.01053,                 1.5171,                 1.3271,                0.96901,                0.93527,                0.96185,                0.76208,                0.01036,                0.87509,                 1.2108,              0.0041833,              0.0041833,              0.0041833
                     35,                0.01046,                 1.5034,                 1.3324,                 0.9719,                0.92648,                0.95755,                0.78633,                0.00932,                0.84768,                 1.1497,              0.0041585,              0.0041585,              0.0041585
                     36,                0.01048,                 1.4947,                 1.3267,                0.97199,                0.92962,                0.95892,                0.77467,                 0.0099,                0.84685,                 1.1579,              0.0041338,              0.0041338,              0.0041338
                     37,                0.01036,                 1.4991,                 1.3108,                0.97605,                0.93476,                0.96181,                0.77937,                0.00961,                0.84184,                 1.1633,               0.004109,               0.004109,               0.004109
                     38,                0.01035,                 1.4768,                 1.3138,                0.97332,                0.93793,                0.96412,                0.79256,                0.00933,                 0.8242,                 1.1413,              0.0040843,              0.0040843,              0.0040843
                     39,                0.01033,                 1.4559,                  1.311,                0.97982,                0.94287,                0.96725,                0.80266,                0.00895,                0.77546,                 1.1065,              0.0040595,              0.0040595,              0.0040595
                     40,                0.01025,                 1.4498,                  1.307,                0.97644,                0.94051,                0.96682,                0.78706,                0.00969,                0.81355,                 1.1637,              0.0040348,              0.0040348,              0.0040348
                     41,                 0.0103,                 1.4482,                 1.3131,                0.97602,                0.94471,                0.96839,                0.80129,                0.00896,                0.78502,                 1.1244,                0.00401,                0.00401,                0.00401
                     42,                0.01021,                 1.4366,                 1.3009,                0.97182,                0.93554,                0.96325,                0.79801,                0.00914,                0.79683,                 1.1179,              0.0039853,              0.0039853,              0.0039853
                     43,                0.01023,                 1.4372,                 1.3082,                0.97221,                0.93875,                0.96297,                0.80176,                0.00879,                0.79565,                 1.1251,              0.0039605,              0.0039605,              0.0039605
                     44,                0.01011,                 1.4065,                 1.3048,                0.97982,                0.94653,                0.96893,                0.80529,                0.00889,                 0.7757,                 1.1203,              0.0039358,              0.0039358,              0.0039358
                     45,                0.01017,                 1.3933,                 1.2996,                0.98075,                0.94283,                0.96745,                0.79821,                0.00925,                0.78093,                  1.126,               0.003911,               0.003911,               0.003911
                     46,                0.01012,                 1.4434,                 1.3015,                0.97998,                0.94698,                0.97031,                0.79673,                0.00932,                0.77451,                 1.1322,              0.0038862,              0.0038862,              0.0038862
                     47,                   0.01,                 1.3837,                 1.2839,                0.97806,                0.94171,                0.96743,                0.80901,                0.00893,                0.74254,                 1.1046,              0.0038615,              0.0038615,              0.0038615
                     48,                0.01003,                 1.3718,                  1.291,                0.98281,                 0.9507,                0.97272,                0.81596,                0.00862,                0.72104,                 1.0942,              0.0038367,              0.0038367,              0.0038367
                     49,                0.01005,                 1.3881,                 1.2913,                0.98147,                0.94941,                0.97138,                0.80532,                0.00892,                0.72772,                 1.1152,               0.003812,               0.003812,               0.003812
                     50,                0.00993,                 1.3678,                 1.2835,                 0.9824,                0.94745,                0.97093,                0.80224,                0.00915,                0.74576,                 1.1035,              0.0037872,              0.0037872,              0.0037872
                     51,                0.00993,                 1.3698,                 1.2811,                0.98344,                0.95001,                0.97209,                0.81842,                0.00859,                0.72205,                  1.086,              0.0037625,              0.0037625,              0.0037625
                     52,                0.00985,                 1.3421,                  1.277,                0.98466,                0.95026,                 0.9726,                0.81283,                0.00874,                0.71325,                 1.1052,              0.0037378,              0.0037378,              0.0037378
                     53,                0.00995,                  1.385,                 1.2814,                0.98096,                0.95254,                 0.9734,                0.81887,                0.00851,                 0.7078,                 1.0733,               0.003713,               0.003713,               0.003713
                     54,                0.00983,                 1.3329,                 1.2809,                0.98163,                0.95021,                0.97184,                0.81524,                0.00877,                0.71209,                 1.1026,              0.0036883,              0.0036883,              0.0036883
                     55,                0.00987,                 1.3553,                 1.2771,                0.98122,                0.95444,                0.97434,                0.82147,                0.00857,                0.69418,                 1.0785,              0.0036635,              0.0036635,              0.0036635
                     56,                0.00981,                 1.3183,                 1.2646,                0.98545,                0.95483,                 0.9745,                0.82253,                0.00862,                0.69734,                 1.0599,              0.0036388,              0.0036388,              0.0036388
                     57,                0.00982,                  1.331,                 1.2776,                0.98348,                0.95325,                0.97334,                 0.8204,                 0.0086,                0.69645,                 1.0831,               0.003614,               0.003614,               0.003614
                     58,                0.00976,                 1.3193,                 1.2755,                 0.9801,                0.95645,                0.97512,                0.82768,                0.00828,                0.68432,                 1.0735,              0.0035893,              0.0035893,              0.0035893
                     59,                0.00975,                 1.3033,                 1.2675,                0.98462,                0.95628,                0.97493,                0.82924,                0.00823,                0.67989,                 1.0678,              0.0035645,              0.0035645,              0.0035645
                     60,                0.00976,                 1.3076,                 1.2601,                0.98442,                0.95499,                0.97491,                0.82499,                0.00844,                0.68783,                 1.0576,              0.0035398,              0.0035398,              0.0035398
                     61,                0.00972,                 1.3063,                 1.2594,                0.98546,                0.95468,                0.97383,                0.82551,                0.00833,                0.68691,                 1.0545,               0.003515,               0.003515,               0.003515
                     62,                0.00962,                  1.284,                 1.2487,                0.98344,                0.95866,                 0.9769,                0.82813,                0.00838,                0.67584,                 1.0541,              0.0034903,              0.0034903,              0.0034903
                     63,                 0.0097,                 1.3099,                 1.2599,                0.98694,                0.95892,                0.97733,                 0.8295,                0.00841,                0.66938,                 1.0563,              0.0034655,              0.0034655,              0.0034655
                     64,                0.00961,                 1.2924,                 1.2582,                0.98717,                0.95742,                0.97659,                0.82637,                0.00851,                 0.6763,                 1.0729,              0.0034408,              0.0034408,              0.0034408
                     65,                0.00967,                 1.2805,                 1.2542,                0.98918,                0.95932,                0.97763,                0.83111,                0.00827,                0.65808,                 1.0568,               0.003416,               0.003416,               0.003416
                     66,                0.00959,                 1.2628,                 1.2534,                0.98545,                0.95867,                0.97724,                0.82915,                 0.0085,                0.66638,                 1.0648,              0.0033913,              0.0033913,              0.0033913
                     67,                0.00954,                 1.2557,                 1.2511,                0.98394,                 0.9566,                0.97539,                0.83166,                0.00824,                0.65388,                 1.0508,              0.0033665,              0.0033665,              0.0033665
                     68,                0.00958,                  1.266,                 1.2485,                0.98501,                0.95963,                 0.9779,                0.83392,                0.00818,                0.64653,                  1.045,              0.0033418,              0.0033418,              0.0033418
                     69,                0.00953,                 1.2561,                 1.2604,                 0.9861,                0.95787,                0.97679,                0.83569,                0.00808,                0.63549,                 1.0463,               0.003317,               0.003317,               0.003317
