epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.358,0.66289,0.40021,1.02716,0.98892,0.9721,0.99103,0.87007,0.63329,0.34363,0.97284,0.0755247,0.00292038,0.00292038
2,234.626,0.67973,0.44277,1.03488,0.98123,0.96255,0.98614,0.86128,0.63673,0.37185,1.0009,0.0508327,0.00573689,0.00573689
3,346.059,0.69048,0.47037,1.04883,0.98122,0.96907,0.9867,0.85878,0.63172,0.3764,1.00719,0.0260246,0.00843725,0.00843725
4,456.782,0.72084,0.50407,1.07546,0.96929,0.95968,0.98197,0.84026,0.67148,0.41361,1.02245,0.0100267,0.0100267,0.0100267
5,568.242,0.71438,0.51185,1.07887,0.97257,0.96013,0.98225,0.84525,0.66796,0.4039,1.03595,0.00981563,0.00981563,0.00981563
6,679.032,0.70841,0.51274,1.06726,0.9473,0.87033,0.93767,0.78339,0.76046,0.618,1.09327,0.00960453,0.00960453,0.00960453
7,790.988,0.69005,0.5007,1.06175,0.97523,0.94205,0.97926,0.83929,0.65763,0.42634,1.02163,0.00939344,0.00939344,0.00939344
8,901.523,0.67561,0.49667,1.05629,0.9742,0.96096,0.98388,0.85806,0.6378,0.38471,1.00974,0.00918234,0.00918234,0.00918234
9,1013.23,0.66602,0.49345,1.04255,0.9801,0.95176,0.98119,0.85595,0.62023,0.37963,0.98884,0.00897125,0.00897125,0.00897125
10,1123.6,0.65459,0.47616,1.03438,0.96958,0.96917,0.98487,0.86503,0.60713,0.36973,0.98837,0.00876016,0.00876016,0.00876016
11,1235.16,0.64243,0.47109,1.03526,0.98135,0.96162,0.98582,0.87316,0.58061,0.35645,0.9682,0.00854906,0.00854906,0.00854906
12,1345.2,0.63217,0.46687,1.03003,0.97131,0.97024,0.98613,0.87525,0.59147,0.36462,0.99168,0.00833797,0.00833797,0.00833797
13,1456.75,0.62333,0.46324,1.02806,0.97672,0.95954,0.98491,0.873,0.59458,0.37393,0.99057,0.00812688,0.00812688,0.00812688
14,1567.49,0.62121,0.45678,1.01382,0.98532,0.96478,0.98699,0.88662,0.5616,0.34739,0.92844,0.00791578,0.00791578,0.00791578
15,1679.43,0.60632,0.44654,1.0154,0.97773,0.96802,0.98571,0.88144,0.55763,0.33349,0.96349,0.00770469,0.00770469,0.00770469
16,1789.3,0.59467,0.43302,1.01236,0.98705,0.96492,0.98659,0.88685,0.56255,0.34255,0.9695,0.0074936,0.0074936,0.0074936
17,1900.76,0.5898,0.43392,1.00047,0.98057,0.96576,0.98519,0.88823,0.54575,0.332,0.93999,0.0072825,0.0072825,0.0072825
18,2011.61,0.58307,0.42606,0.9984,0.98945,0.96912,0.98988,0.89467,0.53597,0.30345,0.9473,0.00707141,0.00707141,0.00707141
19,2123,0.56929,0.41921,0.99425,0.98559,0.97058,0.98935,0.8991,0.51863,0.30414,0.91836,0.00686032,0.00686032,0.00686032
20,2234.84,0.56743,0.41734,0.9924,0.98749,0.97118,0.98892,0.90143,0.50937,0.31734,0.92071,0.00664922,0.00664922,0.00664922
21,2346.86,0.55548,0.4137,0.99496,0.97976,0.95351,0.98389,0.88738,0.54695,0.34846,0.94985,0.00643813,0.00643813,0.00643813
22,2456.85,0.54764,0.3964,0.98431,0.98318,0.9702,0.988,0.89989,0.50316,0.32312,0.92212,0.00622703,0.00622703,0.00622703
